n,b,sample_size,start,stop,treedist
736,44,25,250,350,6.50E+00
737,44,25,300,400,6.40E+00
738,44,25,350,450,7.11E+00
739,44,25,400,500,7.12E+00
740,44,25,450,550,3.92E+00
741,44,25,500,600,3.52E+00
742,44,25,550,650,3.66E+00
743,44,25,600,700,2.99E+00
744,44,25,650,750,1.36E+00
745,44,25,700,800,6.87E+00
746,44,25,750,850,6.60E+00
747,44,25,800,900,4.29E+00
748,44,25,850,950,3.75E+00
749,45,25,0,100,5.95E+00
750,45,25,50,150,3.77E+00
751,45,25,100,200,1.90E+00
752,45,25,150,250,2.37E+00
753,45,25,200,300,4.45E+00
754,45,25,250,350,5.54E+00
755,45,25,300,400,2.56E+00
756,45,25,350,450,5.04E+00
757,45,25,400,500,5.04E+00
758,45,25,450,550,2.11E+00
759,45,25,500,600,1.89E+00
760,45,25,550,650,1.94E+00
761,45,25,600,700,1.77E+00
762,45,25,650,750,8.74E-01
763,45,25,700,800,6.84E-01
764,45,25,750,850,7.19E-01
765,45,25,800,900,9.77E-01
766,45,25,850,950,1.14E+00
767,46,25,0,100,1.05E+01
768,46,25,50,150,7.84E+00
769,46,25,100,200,2.71E+00
770,46,25,150,250,2.05E+00
771,46,25,200,300,4.17E+00
772,46,25,250,350,2.86E+00
773,46,25,300,400,2.19E+00
774,46,25,350,450,1.88E+00
775,46,25,400,500,1.88E+00
776,46,25,450,550,1.62E+00
777,46,25,500,600,1.73E+00
778,46,25,550,650,1.79E+00
779,46,25,600,700,1.67E+00
780,46,25,650,750,1.44E+00
781,46,25,700,800,9.40E-01
782,46,25,750,850,5.97E-01
783,46,25,800,900,6.42E-01
784,46,25,850,950,5.86E-01
785,47,25,0,100,2.68E+00
786,47,25,50,150,4.04E+00
787,47,25,100,200,1.93E+00
788,47,25,150,250,3.43E+00
789,47,25,200,300,6.14E+00
790,47,25,250,350,6.14E+00
791,47,25,300,400,4.27E+00
792,47,25,350,450,3.85E+00
793,47,25,400,500,3.86E+00
794,47,25,450,550,1.61E+00
795,47,25,500,600,1.77E+00
796,47,25,550,650,1.76E+00
797,47,25,600,700,1.14E+00
798,47,25,650,750,8.61E-01
799,47,25,700,800,6.02E-01
800,47,25,750,850,5.39E-01
801,47,25,800,900,5.16E-01
802,47,25,850,950,5.38E-01
803,48,25,0,100,2.22E+00
804,48,25,50,150,3.13E+00
805,48,25,100,200,1.57E+00
806,48,25,150,250,3.67E+00
807,48,25,200,300,5.91E+00
808,48,25,250,350,2.73E+00
809,48,25,300,400,3.29E+00
810,48,25,350,450,2.86E+00
811,48,25,400,500,2.86E+00
812,48,25,450,550,2.28E+00
813,48,25,500,600,2.09E+00
814,48,25,550,650,4.37E+00
815,48,25,600,700,1.85E+00
816,48,25,650,750,1.08E+00
817,48,25,700,800,1.08E+00
