n,b,sample_size,start,stop,treedist
n,b,sample_size,start,stop,treedist
44,43,25,300,400,2.039286e+00
44,43,25,350,450,1.796442e+00
44,43,25,400,500,1.796037e+00
44,43,25,450,550,1.323682e+00
44,43,25,500,600,1.800249e+00
44,43,25,550,650,1.958546e+00
44,43,25,600,700,1.499870e+00
44,43,25,650,750,1.373864e+00
44,43,25,700,800,1.232259e+00
44,43,25,750,850,5.137936e-01
44,43,25,800,900,5.868467e-01
44,43,25,850,950,5.938633e-01
45,44,25,0,100,1.016408e+01
45,44,25,50,150,4.613461e+00
45,44,25,100,200,1.561514e+00
45,44,25,150,250,5.575154e+00
45,44,25,200,300,8.140477e+00
45,44,25,250,350,6.504255e+00
45,44,25,300,400,6.401409e+00
45,44,25,350,450,7.107392e+00
45,44,25,400,500,7.117287e+00
45,44,25,450,550,3.923875e+00
45,44,25,500,600,3.521528e+00
45,44,25,550,650,3.656837e+00
45,44,25,600,700,2.993402e+00
45,44,25,650,750,1.363842e+00
45,44,25,700,800,6.865621e+00
45,44,25,750,850,6.597807e+00
45,44,25,800,900,4.294132e+00
45,44,25,850,950,3.749206e+00
46,45,25,0,100,5.949497e+00
46,45,25,50,150,3.766820e+00
46,45,25,100,200,1.896350e+00
46,45,25,150,250,2.368564e+00
46,45,25,200,300,4.449119e+00
46,45,25,250,350,5.544591e+00
46,45,25,300,400,2.563690e+00
46,45,25,350,450,5.035965e+00
46,45,25,400,500,5.040742e+00
46,45,25,450,550,2.110960e+00
46,45,25,500,600,1.886791e+00
46,45,25,550,650,1.939291e+00
46,45,25,600,700,1.768268e+00
46,45,25,650,750,8.743457e-01
46,45,25,700,800,6.844654e-01
